ticker,wiki_name,sec_name,yf_name,overlap,exchange,currency,quote_type,first_price,member_start,member_end,level,n_levels,flag,reason
ATVI,Activision Blizzard,"ACTIVISION BLIZZARD, INC.",,,,,NONE,,2015-08-28,2023-10-17,,,false,""
AV,Avaya,,Corgi Aerospace & Commercial Aviation ETF,0.0,BTS,USD,ETF,,1900-01-01,2007-10-25,,,true,name overlap 0.00; quote type ETF
AVB,AvalonBay Communities,AVALONBAY COMMUNITIES INC,AvalonBay Communities Inc,1.0,NYQ,USD,EQUITY,2026-07-17,2007-01-10,2026-08-17,,,true,first price 2026-07-17 is over 24 months after membership start 2008-01-01
AVP,Avon Products,AVON PRODUCTS INC,,,,,,,1900-01-01,2015-03-22,,,false,no_info
AYE,Allegheny Energy,"ALLEGHENY ENERGY, INC",1289398,,YHD,,MUTUALFUND,,1900-01-01,2011-02-24,,,false,""
AYI,Acuity Brands,ACUITY BRANDS INC|ACUITY INC. (DE),Acuity Inc.,1.0,NYQ,USD,EQUITY,2008-01-02,2016-05-03,2018-06-17,1.2141231191982522,2,false,""
BBBY,Bed Bath & Beyond,BED BATH & BEYOND INC,"Bed Bath & Beyond, Inc.",1.0,NYQ,USD,EQUITY,,1900-01-01,2017-07-25,,,false,""
BBWI,"Bath & Body Works, Inc.","BATH & BODY WORKS, INC.|L BRANDS, INC.|LIMITED BRANDS INC","Bath & Body Works, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2024-09-30,1.1895115451943954,16,false,""
BC,Brunswick,BRUNSWICK CORP,Brunswick Corporation,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2008-06-22,,,false,""
BCR,CR Bard,BARD C R INC /NJ/,574456,,YHD,,MUTUALFUND,,1900-01-01,2018-01-02,,,false,""
BEAM,Suntory Global Spirits,BEAM INC|FORTUNE BRANDS INC,Beam Therapeutics Inc.,1.0,NMS,USD,EQUITY,,1900-01-01,2014-04-30,,,false,""
BHF,Brighthouse Financial,"BRIGHTHOUSE FINANCIAL, INC.","Brighthouse Financial, Inc.",1.0,NMS,USD,EQUITY,2017-07-17,2017-08-08,2019-04-01,0.999935722959423,1,false,""
BHI,Baker Hughes,BAKER HUGHES A GE CO LLC|BAKER HUGHES HOLDINGS LLC|BAKER HUGHES INC,,,,,,,1900-01-01,2017-07-06,,,false,no_info
BIG,Big Lots,BIG LOTS INC,,,,,,,1900-01-01,2013-02-14,,,false,no_info
BIO,Bio-Rad Laboratories,"BIO RAD LABORATORIES INC|BIO-RAD LABORATORIES, INC.","Bio-Rad Laboratories, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,2020-06-22,2024-09-22,,,false,""
BJS,BJ Services,BJ SERVICES CO,2975165,,YHD,,MUTUALFUND,,1900-01-01,2010-04-28,,,false,""
BMC,BMC Software,BMC SOFTWARE INC,,,,,,,1900-01-01,2013-09-09,,,false,no_info
BMS,Bemis Company|Bemis,BEMIS CO INC,"Bemis Company, Inc.",1.0,NYQ,,EQUITY,2008-01-02,1900-01-01,2019-06-10,1.0000129020714439,9,false,""
BRCM,Broadcom Corporation,BROADCOM CORP,7486608,,YHD,,MUTUALFUND,,1900-01-01,2016-01-31,,,false,""
BS,Bethlehem Steel,,,,,,,,1900-01-01,2000-12-04,,,false,no_info
BTU,Peabody Energy,PEABODY ENERGY CORP,Peabody Energy Corporation,1.0,NYQ,USD,EQUITY,,1900-01-01,2014-09-19,,,false,""
BWA,BorgWarner,BORGWARNER INC,BorgWarner Inc.,1.0,NYQ,USD,EQUITY,2008-01-02,2011-12-16,2025-03-23,1.008079321954789,13,false,""
BXLT,Baxalta,BAXALTA INC,,,YHD,,MUTUALFUND,,2015-07-01,2016-06-02,,,false,""
CA,CA Technologies,"CA, INC.",,,,,,,1900-01-01,2018-11-05,,,false,no_info
CAG,Conagra Brands,CONAGRA BRANDS INC.|CONAGRA FOODS INC /DE/,"Conagra Brands, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2026-06-29,1.0000000027854758,17,false,""
CAM,Cameron International,CAMERON INTERNATIONAL CORP,AB California Intermediate Municipal ETF,0.0,PCX,USD,ETF,,1900-01-01,2016-04-03,,,true,name overlap 0.00; quote type ETF
CBE,Cooper Industries,COOPER INDUSTRIES LTD|COOPER INDUSTRIES PLC,462219,,YHD,,MUTUALFUND,,1900-01-01,2012-12-02,,,false,""
CCE,Coca-Cola Enterprises,"COCA COLA ENTERPRISES INC|COCA-COLA ENTERPRISES, INC.",Coca-Cola European Partners plc,0.6666666666666666,YHD,,MUTUALFUND,,1900-01-01,2016-05-30,,,false,""
CCK,Crown Holdings,"CROWN HOLDINGS INC|CROWN HOLDINGS, INC.","Crown Holdings, Inc.",1.0,NYQ,USD,EQUITY,,1900-01-01,2000-12-04,,,false,""
CDAY,Ceridian,"CERIDIAN HCM HOLDING INC.|DAYFORCE, INC.",,,,,NONE,,2021-09-20,2024-01-31,,,false,""
