ticker,cik,fy,float_date,month,close,shares,shares_source,cap,public_float,ratio,flag,reason
LW,1679273,2021,2020-11-27,2020-10-31,63.45000076293945,146339062.0,cover,9285213595.547844,10700000000.0,0.8677769715465274,"",""
LW,1679273,2022,2021-11-26,2021-10-31,56.45000076293945,146068401.0,cover,8245561347.891346,7600000000.0,1.0849422826172823,"",""
LW,1679273,2023,2022-11-25,2022-10-31,86.22000122070312,143831204.0,cover,12401126584.4552,12300000000.0,1.008221673532943,"",""
LW,1679273,2024,2023-11-24,2023-10-31,89.80000305175781,144927051.0,cover,13014449622.08226,14300000000.0,0.9101013721735847,"",""
LW,1679273,2025,2024-11-22,2024-10-31,77.69000244140625,142597776.0,cover,11078421565.579102,10900000000.0,1.0163689509705598,"",""
LW,1679273,2026,2025-11-21,2025-10-31,61.72999954223633,139352480.0,cover,8602228526.609497,8000000000.0,1.0752785658261872,"",""
LXK,1001288,2010,2010-06-30,2010-06-30,,,,,2600000000.0,,"",""
LXK,1001288,2011,2011-06-30,2011-06-30,,,,,2300000000.0,,"",""
LXK,1001288,2012,2012-06-30,2012-06-30,,,,,1900000000.0,,"",""
LXK,1001288,2013,2013-06-30,2013-06-30,,,,,1900000000.0,,"",""
LXK,1001288,2014,2014-06-30,2014-06-30,,,,,3000000000.0,,"",""
LXK,1001288,2015,2015-06-30,2015-06-30,,,,,2700000000.0,,"",""
LYB,1489393,2011,2011-06-30,2011-06-30,38.52000045776367,,,,12100000000.0,,"",""
LYB,1489393,2012,2012-06-30,2012-06-30,40.27000045776367,574623896.0,cover,23140104554.961945,12900000000.0,1.7938065546482127,"",""
LYB,1489393,2013,2013-06-30,2013-06-30,66.26000213623047,575507208.0,cover,38133108831.49603,27800000000.0,1.37169456228403,"",""
LYB,1489393,2014,2014-06-30,2014-06-30,97.6500015258789,527295260.0,cover,51490382943.588715,41800000000.0,1.2318273431480553,"",""
LYB,1489393,2015,2015-06-30,2015-06-30,103.5199966430664,473300957.0,cover,48996113479.80012,41800000000.0,1.172155824875601,"",""
LYB,1489393,2016,2016-06-30,2016-06-30,74.41999816894531,426727144.0,cover,31757033275.119263,25400000000.0,1.2502769005952465,"",""
LYB,1489393,2018,2018-06-30,2018-06-30,109.8499984741211,392069274.0,cover,43068809150.649765,35000000000.0,1.230537404304279,"",""
LYB,1489393,2019,2019-06-28,2019-05-31,74.25,370327226.0,cover,27496796530.5,25300000000.0,1.0868299023913044,"",""
LYB,1489393,2020,2020-06-30,2020-06-30,65.72000122070312,333706244.0,cover,21931174763.036255,16800000000.0,1.3054270692283485,"",""
LYB,1489393,2021,2021-06-30,2021-06-30,102.87000274658203,334353962.0,cover,34394992989.270584,27000000000.0,1.2738886292322438,"",""
LYB,1489393,2022,2022-06-30,2022-06-30,87.45999908447266,327621817.0,cover,28653803814.87327,22400000000.0,1.2791876703068423,"",""
LYB,1489393,2023,2023-06-30,2023-06-30,91.83000183105469,325274141.0,cover,29869924963.62474,23600000000.0,1.2656747865942686,"",""
LYB,1489393,2024,2024-06-30,2024-06-30,95.66000366210938,325622260.0,cover,31149026584.06433,24800000000.0,1.256009136454207,"",""
LYB,1489393,2025,2025-06-30,2025-06-30,57.86000061035156,321400014.0,cover,18596205006.207,14800000000.0,1.2565003382572297,"",""
