ticker,sector,months,mean_gap,crossings,replica_op,naive_op,operating_income_fallback,log_pretax_over_ni_plus_tax,interest_over_ni_plus_tax,log_equity_fy_over_equity,driver
SAI,Information Technology,8,0.06537438265407722,0,0.25133689839572193,0.28762414056531704,0.0,0.003034903695154047,0.1409090909090909,0.1183432740269919,interest add-back
COF,Financials,36,0.06535070809958793,0,0.14580605065145497,0.1809646416442856,0.0,0.036985407483257376,0.2897800776196636,0.025005738406414475,interest add-back
ECL,Consumer Staples,36,0.06526693682199897,0,0.17677654779897337,0.17677654779897337,0.0,0.0,0.0,0.04702306223299821,none of the three (rank gap under noise)
XEC,Energy,19,0.06475697750677989,0,0.17906396257236762,0.17906396257236762,0.0,0.0,0.0,0.07004729505928102,none of the three (rank gap under noise)
SWK,Industrials,36,0.06475118631338657,0,0.08627485586539593,0.16602420842645227,0.0,0.09346821943826332,0.17935222672064777,0.023489452067398227,interest add-back
MRK,Health Care,36,0.0646063736408857,0,0.16482459449264428,0.16235382874387025,0.0,0.015103763225978733,0.0,0.022311017597422433,none of the three (rank gap under noise)
STZ,Consumer Staples,36,0.06413990626751741,0,0.20441194309182595,0.24382057826102158,0.0,0.0,0.0,0.04809854052459238,none of the three (rank gap under noise)
LUV,Industrials,36,0.06391825567026349,0,0.16480370774263903,0.16480370774263903,0.0,0.0,0.0,0.0125975252155054,none of the three (rank gap under noise)
RHT,Information Technology,36,0.06347349463851638,0,0.1544310244235784,0.1544310244235784,0.0,0.0,0.0,0.03952994745331749,none of the three (rank gap under noise)
RSG,Utilities,36,0.06324232900963628,0,0.10769912064275321,0.15734814949437254,0.0,0.0003389256090740075,0.42303172737955347,0.0032212249549486973,interest add-back
MS,Financials,36,0.06316463684952209,0,0.05064880112834979,0.09950634696755994,0.0,0.17618247438746162,1.179084619478446,0.03113808023966117,interest add-back
SRE,Utilities,36,0.06311843106437828,0,0.12990552325581395,0.17496366279069767,0.0,0.04221732449589202,0.4089246525237747,0.01617473628262881,interest add-back
GOOGL,Information Technology,33,0.06245748091902566,0,0.16603099336838126,0.17411721586548923,0.0,0.029459229140038505,0.0,0.06737242050917759,none of the three (rank gap under noise)
CFN,Health Care,25,0.062111206561022814,0,0.0987012987012987,0.0987012987012987,0.0,0.007393749024938192,0.0,0.005212223266990248,none of the three (rank gap under noise)
AVY,Materials,36,0.06206900956405893,0,0.24333199303042488,0.2637716123843989,0.0,0.08174248986756658,0.1763299462044232,0.007560971364841973,interest add-back
TWX,Communication Services,23,0.06190698702533255,0,0.17733413590155164,0.1819154628143392,0.0,0.025506362712858284,0.0,0.011423060481008015,none of the three (rank gap under noise)
NEE,Utilities,36,0.06188071330239539,0,0.16199900423201394,0.16199900423201394,0.0,0.0010979962673251093,0.0,0.0066298585386696885,none of the three (rank gap under noise)
PWR,Industrials,36,0.06165244296020408,0,0.12334370888144795,0.128834412836369,0.0,0.001326132509358092,0.007779612265453828,0.04222597381364316,none of the three (rank gap under noise)
XLNX,Information Technology,36,0.061596123110862724,0,0.25775807012942287,0.25775807012942287,0.0,0.0,0.0,0.014166517760541194,none of the three (rank gap under noise)
DAL,Industrials,23,0.06153625292372647,0,0.2170402817143348,0.2170402817143348,0.0,0.0,0.0,0.04697668209482351,none of the three (rank gap under noise)
ETN,Industrials,34,0.06091958506407537,0,0.11155454199923984,0.11155454199923984,0.0,0.0,0.0,0.01222377255342654,none of the three (rank gap under noise)
CERN,Information Technology,36,0.06088925483349818,0,0.20740317258659327,0.20740317258659327,0.0,0.0,0.0,0.0397098015095021,none of the three (rank gap under noise)
MUR,Energy,36,0.060680413671912826,0,0.17132774063401246,0.18831474043660085,0.0,0.10017012598389984,0.03319708039945712,0.022735335614580448,pretax_income
GEN,Information Technology,8,0.060456444052405495,0,0.18416175231676496,0.18416175231676496,0.0,0.0,0.0,0.006592873174595836,none of the three (rank gap under noise)
BMS,Materials,23,0.06037826527567154,0,0.1847054205699629,0.23059116809116809,0.0,0.0,0.25448671931083994,0.006212853924196224,interest add-back
DFS,Financials,36,0.06024689328318847,0,0.3648811175871959,0.4709038763992969,0.0,0.0,0.3069842988630211,0.01942342327533907,interest add-back
UNM,Financials,36,0.06002578320022332,0,0.13918305597579425,0.13918305597579425,0.0,0.0,0.0,0.006507054462631872,none of the three (rank gap under noise)
PHM,Consumer Discretionary,36,0.05987702881463029,0,0.11353569578692144,0.11368884858350871,0.0,0.0,0.0013489396046394429,0.013189746661843093,none of the three (rank gap under noise)
TXT,Industrials,36,0.05964286199039764,0,0.19967228464419476,0.24321161048689138,0.0,0.005878911699776059,0.2497055359246172,0.0433006718846605,interest add-back
META,Information Technology,25,0.059044110725754925,0,0.1360261524822695,0.1375775709219858,0.0,0.0,0.020334059549745823,0.08890268721615334,none of the three (rank gap under noise)
